autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Cesare P,"Curitiba, PR","Pessoal, nos nem sabíamos que estivesses um lugar como este na serra catarinense, a dir pouco fantástico, estrada muito bem designada com curvas leves e bruscas mas nada de perigos, piso ótimo de concreto, iluminação completa e veja só a eletricidade é de graça!!!!!! ""UOT"" como é este negocio!!!! Certo a eletricidade é produzida com a energia eolica de uma usina no topo da serra, a vista deslumbrante.",abr de 2015 • Casais,Semplismente fantastica
paulosiqueirapereira,"Itapema, SC",Uma estrada sinuosa para motoristas intrépidos em meio a vegetação exuberante e uma serra de tirar o fôlego. Um dos locais mais bonitos do mundo. Fascinante.,abr de 2015 • Família,Um dos lugares mais lindos do mundo.
RenanChagas,"Porto Alegre, RS","Saímos de Termas do Gravatal, uma viagem super legal para a subida da serra. ",,Lindo!
Eduardo E,"Belo Horizonte, MG","Só que já desceu esta serra de moto e esteve lá pode descrever o que é! Experiência indescritível, que vale cada um dos 3.338 km´s rodados de moto!!!",abr de 2015 • Amigos,INDESCRITÍVEL
Julioturbay,"Curitiba, PR","Esse é um lugar que te proporciona um contato impressionante com a natureza e uma reflexão de como os homens foram capazes de tamanha ""aventura"" ao desenhar e executar uma estrada como a do Rio do Rastro. Excelente vista.",abr de 2015 • Família,Uma das mais belas vistas
FerScherer,"Toledo, PR","Belíssima vísta, lembrar de chegar antes das 10 horas, pois até esse horário, na maioria das vezes, a vista está aberta.",abr de 2015 • Amigos,Lugar impressionante
anaelisa2015,"São Paulo, SP","a serrinha mais linda que já pude ver e passar. à noite iluminada então, é um show a céu aberto. pode ser vista lá de cima, do mirante e também dá para ir à 20 km/hora pelos 12 km de pura emoção.",abr de 2015 • Casais,literalmente de tirar o fôlego
cleberpzo,"Bombinhas, SC",Um espetáculo!,ago de 2014 • Amigos,Espetáculo da Natureza
Mariza M,"Curitiba, Parana, Brazil","Lugar inesquecível, foi uma viagem saido de Bom Retiro passa por Urubici e vai at´e Bom Jardim da Serra onde se inicia a  descida,  é simplesmente emocionante, desci na garupa de uma moto, é incrível, a beleza natural é única nos belvederes, é um passeio imperdível.",abr de 2015 • Amigos,BELEZA SEM IGUAL
Sergio A,"Taquara, RS","Descer as curvas da estrada que liga a serra ao litoral, é seguro mas estonteante. É encantador ver tanta beleza intocada, bem como desafiador reparar na obra de engenharia que possibilitou a construção da estrada.",mai de 2014 • Família,Arrepiante
Anderson S,"Porto, Portugal","Nosso país tem lugares magníficos e este, com certeza, se incluiu em um deles. O ideal é subir durante o dia e com sol, a vista fica mais perfeita. Durante à noite, iluminada fica belíssima, porém, requer cuidado com a serração e a iluminação é apenas em um trecho.",abr de 2015 • Casais,Sem palavras
Jacquemt,"Santa Maria, RS","Muito Linda essa Serra. Além de emocionante, tanto a descida quanto a subida, ainda tem a natureza com cascatas e animais silvestres. Quem tiver oportunidade tem que ir conhecer.",abr de 2015 • Família,Mravilhosa
Carlos Eduardo L,10 contribuições,"Realmente uma construção impressionante em meio a uma natureza praticamente intocada. Em alguns momentos é necessário parar, para que o carro na direção contrária possa passar. Os mirantes são demais.",,Surpreendente
BrunoR,"Brasília, DF","Infelizmente não pudemos apreciar a vista da serra porque subimos à noite. Um motociclista, acostumado a rodar pela região, nos disse que à noite a estrada da serra ""é a coisa mais linda"" e estava toda iluminada. Bem, não foi bem assim! A iluminação começa apenas nos trechos de zigue-zague mais acentuados, ou seja, pra quem sobe, é praticamente no final do percurso. Outra coisa que não nos avisaram foi sobre a serração! Sem a iluminação, só era possível ver apenas 3 tachinhas à frente do carro e só! Depois que o zigue-zague termina, a iluminação também acaba, mas a serração não! Mais tenso do que subir, foi dirigir até o fim da serração, o que deu uns 5 km! Foi a experiência de direção mais emocionante da viagem, mas também a mais tensa de todas. Aconselho, para quem não conhece a estrada, a não subir à noite.",mar de 2015 • Casais,À noite é um perigo só!
SuziCF,"Porto Alegre, RS","Maravilhoso!!! Pode ser conhecida sob diversos ângulos: subindo, descendo, de dia ou a noite. Localizada na Serra Catarinense, tem um de seus pontos lá e outro em direção ao litoral. Dependendo da época do ano, sob neblina.",abr de 2015 • Família,Natureza
Daros93,"Florianópolis, SC","Subi a serra pela primeira vez ainda quando não tinha asfalto era estrada de chão, era uma emoção sem igual com chuva então mais perigoso, o visual sem igual, mas da ultima vez subi a noite e no escuro muita adrenalina..",dez de 2014 • Casais,EMOÇÃO!!
Clarice2013,"Pelotas, RS",A conservação e a preocupação com a segurança. A vista indescritível. Vale a pena tirar um tempinho e conhecer esse lugar.,abr de 2015 • Família,Emocionante
RUICRF,"Florianópolis, SC","O visual é excelente, vale o passeio. Estrada com muitas curvas, o carro deve estar em bom estado. O visual é imperdível, mas ande com cuidado. Há um mirante no topo.",ago de 2014 • Casais,"Excelente visual, muitas curvas!"
Rubia G,"Indaial, SC","Q viagem essa serra, muitas curvas com paredões de pedra, quem quiser ir a noite tem iluminação e alguns recuos para parada da foto..rsrs . Para quem esta subindo quase no mirante tem uma loja de lembrancinhas, fotos e café quente. E quem quiser se hospedar na serra tem hotel..",,Surreal
Schamba,"Criciúma, SC",Uma serra muito bonita. Vale a pena o passeio. Visual sensacional. A estrada iluminada a noite também é um atrativo. Um belo exemplo da beleza da natureza em nossa região.,dez de 2014 • Amigos,Show de bola!!!
Letícia Vítola,"Brasília, DF",Fui de moto e pode viver uma experiência incrível! Cercada pela natureza em meio às curvas. ,,Lindo! 
Eduardo K,"São Paulo, SP","Beleza única, a subida com suas curvas sinuosas mostra a natureza plena da serra catarinense.",,Meca para Motociclistas
Patrickmagostini,"Nova Bréscia, RS","Um lugar de beleza rara, onde você tem uma das vistas mais incríveis de toda a região Sul. O lugar é muito bom para ir com a família, tirar fotos e observar os belos quatis que ""povoam"" o topo da serra.",jan de 2015 • Família,Natureza magnífica!
Flpiccinin,"Toledo, PR","Lugar maravilhoso, surpreendente. Aconselho a caminho do litoral alternativamentevestender a viagem para conhecer esta obra de engenharia!",mar de 2015 • Casais,Feito por Deus e contornado pelo Homem!
Ricardo D,"Ribeirão Preto, SP","um passeio maravilhoso com a familia, a vista é maravilhosa, o visual é de tirar o folego! recomendo a quem puder faze-lo.",mar de 2015 • Família,Maravilhoso!
LuizaLeite,"Brasília, DF","Vista maravilhosa, a cada curva algo novo para ver, muito verde, cachoeiras e a própria estrada. Vale a pena achar uma desculpa para subir a serra!",mar de 2015 • Família,Vista maravilhosa
RenatoL77,"Florianópolis, SC",Excelente passeio para se fazer com a família e amigos! Belo visual! Viagem tranquila e ambiente agradável!,dez de 2014 • Família,Linda vista!
Ricardo Serpa,"Itapema, SC","A serra do Rio do Rastro é imperdível para quem está na região, vista espetacular, além de excitação de percorrer uma das mais lindas estradas mundiais.",dez de 2014 • Casais,"Vista esplêndida, natureza e serra imperdíveis"
NetoVeiga,"Vargem Grande Paulista, SP","Tive o privilégio em conhecer esse lugar encantado. Curvas sinuosas, estrada completamente cercada pela natureza. Passeio maravilhoso, tive a sorte de ir em um dia com sol. Porém na volta estava nublado, mas deu pra curtir cada curva, espetacular. ",,"Incrível, passeio imperdível "
jairobig,"Registro, SP","mais uma vez dei sorte , sol tempo limpo , perfeito para o visual e subida da serra e apreciar a divina paisagem no mirante , imperdivel",mar de 2015 • Amigos,lindo
rafaelely,"Porto Alegre, RS","Estrada fantástica, ótima pra quem curte dirigir! Muitas curvas e uma vista de emocionar! Imperdível!",jan de 2015 • A sós,adrenalina
Eron R,"Balneário Camboriú, SC","Passei por diversas vezes por esse caminho e nunca me canso da sua beleza, quando com o tempo limpo pode se ver todo o vale, a noite a serra iluminada da um toc ainda mais especial.",out de 2014 • Amigos,Serra
AAnversa,"São Paulo, SP","Para quem é apaixonado por visuais diferentes ai vai uma dica. Vale a pena subir durante o dia e descer a noite. Até existem outras estradas sinuosas como esta, mas iluminada a noite é so la. Fantastico. ",mai de 2014 • Amigos,Para motociclistas
Vilmar Franco Machado,57 contribuições,"Uma das estradas mais perigosas, mortais e lindas do mundo. Descer de bike é uma aventura de tirar o fôlego. Anualmente acontece o desafio de ciclismo, reunindo ciclistas de toda América Latina. Ótima gastronomia e hotéis.  ",,Incrível...inacreditável... Fantástica.
Alairce,"Curitiba, PR","Até que enfim fomos conhecer a Serra do Rio do Rastro. É tudo aquilo que falam dela e mais um pouco: é de tirar o fôlego. Subimos e descemos, fotografando cada cantinho, cada pico, cachoeira e curva. Recomento a todo brasileiro que vá conhecer e se lembrar que nosso país é lindo...",mar de 2015 • Casais,Maravilhosa é pouco!
Tiago_Vanessa_,"Criciúma, SC","É um dos pontos mais bonitos do estado. Os paredões de um lado, com os penhascos do outro, somados à vista única ao fundo fazem com que o percurso seja um momento de desfrute. Só deveria estar mais cuidada pelas autoridades.",abr de 2014 • Casais,Subida encantadora
Vinicius T,"Balneário Camboriú, SC","Vale a pena , a nível mundial, conhecer e passar pelo local. Impressionante a vista e a estrada. um trecho da estrada que por si só já é Uma atração .",mai de 2014 • Casais,Fantastico
Sérgio F G Diniz,"Joinville, SC","A vista do alto da Serra é simplesmente linda! Vale à pena dar uma parada e além da vista, tomar um bom chocolate quente.",jun de 2014 • Família,Paisagem de tirar o fôlego!
Jediel,"Umuarama, PR","Já tinha ouvido falar das belezas da serra catarinense, mas fazia noção de quanto era bela, de fato. Alteramos nosso trajeto para passar por lá, quase que por ""acidente"". Nos deparamos com a mais bela paisagem que já presenciei aqui no sul. Imperdível!!!",fev de 2015 • Amigos,Viagem excelente. Imperdível.
antonio s,"João Pessoa, PB","Nessa viagem, apesar de já conhecer Gramado/Canela, resolvi visita-las novamente. As visitei pela primeira vez no mês de Dezembro/2008. Nessa época a cidade fervilha de pessoas para assistirem o Natal Luz, conhecerem a arquitetura local em estilo Germânico e as hortências que enfeitam as ruas das duas cidades, além de margearem as conservadas rodovias por onde andei. Lembra um pouco a Europa. ",fev de 2015 • Amigos,Viajando de moto: João Pessoa/Foz do Iguaçu/Serra do Rio do Rastro/Caxias do Sul
CelsoMartinez,"Rio de Janeiro, RJ","Mesmo com o tempo nublado, foi uma das serras mais íngreme que já passei. A navegação deve ser feita com muito cuidado, pois as curvas são fechadas e passa muito caminhão fazendo curvas abertas para poderem concluir sua rota.",fev de 2015 • Amigos,Serra Linda
willneves,"Florianópolis, SC",Uma estrada incomparável com qualquer outra.,abr de 2014 • Família,Lugar Fantástico
Cjd1971,"Curitiba, PR","A serra do rastro é impar, não tem beleza igual, cada vez, cada hora que você vai é diferente...eu as quatro vezes que fui, desci e subi, parando nos mirantes, e tirando muitas fotos...",fev de 2015 • Família,Linda sempre
Luciana F,105 contribuições,"Vale muito a pena. Reserve um tempo para contemplação. Pare o carro no mirante e curta a vista, que é gratuita. Escolha um dia com sol, pois quando há nuvens por lá não se pode ver nada. Existem lanchonetes no mirante, e algumas churrascarias a uns 5 km no sentido Bom Jardim da Serra. Cuidado com os quatis, principalmente com crianças, pois eles avançam na comida. O mirante tem uma webcam ao vivo, isso é bom para monitorar quando as nuvens saem.",fev de 2015 • Casais,Linda paisagem
Fernando Feller,6 contribuições,"A serra do Rio do rastro é um dos pontos turísticos da Serra catarinense com uma bela paisagem. Longo trecho íngreme com várias curvas e cercado de belas paisagens, a Serra atrai vários viajantes que passam pela região. Na parte alta possui um mirante e também um bom restaurante. ",,Bela paisagem 
Beatriz M M,"Novo Hamburgo, RS","A serra do Rio do Rastro é cartão postal de Santa Catarina. É cortada pela rodovia SC 340 e é caracterizada por subida ingrime e curvas fechadas. É coberta pela mata atlântica com fauna diversificada. Há locais onde é possível parar e desfrutar da exuberante paisagem (tem um mirante com quiosques, restaurante e café a 1.420 m de altitude). Motos sobem e descem em grupos  e também adeptos ao pedal. Para saber as condições de visibilidade na serra , no dia da viagem, acesse www.riodorastroaovivo.com .  Considerada uma das mais lindas serras do mundo é um passeio diurno imperdível.",fev de 2015 • Amigos,SERRA O RIO DO RASTRO - IMPERDÍVEL
Thiagoferrari,"Medianeira, PR","um local deslumbrante onde temos contato direto com as belezas que a natureza nos oferece, e uma vista maravilhosa quando se chega aos mirantes tanto no meio da serra quando no topo.",fev de 2015 • Amigos,PAISAGEM
Nina,"Navegantes, SC","Quando a neblina deixa, a vista impressiona! Vale apena ficar em hotel perto para correr caso não de para ver a primeira visita. Tem um café lá, muito bom. Atendimento agradável.",fev de 2015 • Família,Maravilha
Sandra P,"Curitiba, PR",Impossível descer a serra sem sentir um friozinho na barriga. Vista majestosa. Bem cuidada. Iluminada. E perigosa...necessária extrema atenção. Os caminhões precisam aguardar nas curvas pela passagem de outros caminhões. Há uma cascata linda e mirantes que permitem apreciar o todo. Impossível trafegar quando há neblina. Super recomendo.,fev de 2015 • Amigos,Majestosa!
Douglas Costa Fotografia,"Montenegro, RS",A rodovia da Serra do Rio do Rastro é sem dúvidas a rodovia mais linda do Brasil! Parece perigosa mas o número de acidentes é bem dizer nulo devido a baixa velocidade que ela impõe ao motorista. O ideal é mesmo ir com a luz do dia para curtir toda paisagem! ,fev de 2015 • Casais,A rodovia mais linda do Brasil!
aplsr,"Cotia, SP",A Vista é Surpreendente.,fev de 2015,Incrivél
Grazy F,6 contribuições,"A serra conta com uma subida incrível, que para muitos da medo, mais ao mesmo tempo você fica deslumbrado com a natureza que da de avistar.. Simplesmente perfeita!",jan de 2015 • Amigos,Subida incrível!
ricardo83rs,"Gravataí, RS","A estrada realmente é incrível, com uma vista exuberante, a estrada desce contornando o ""paredão"" do planalto que forma a serra, vale a pena conhecer esta serra, muita atenção e calma na estrada é impressindível!",jan de 2015 • Família,Estrada incrível!
Giovana K,"Florianópolis, SC","No alto da Serra do Rio do Rastro, percebemos como somos pequenos diante da imensidão da natureza. Sentimos o frescor do ar puro e vislumbramos inumeráveis tons de verde. Sensacional!",ago de 2014 • Casais,Natureza majestosa
Tiago Kestering Pereira,"Criciúma, SC","A serra de SC é linda demais, com um visual impressionante. Sou suspeito pra falar, pois é no meu Estado, mas dificilmente um visitante não se surpreende com o visual. Chegando no topo da Serra é possível encontrar restaurante com excelente qualidade e ter uma visão panorâmica! A Serra em si (a estrada) fica em Lauro Muller, não em Bom Jardim.",nov de 2014 • Casais,Linda!
4dfgAbc123,123 contribuições,Uma estrada cheia de curvas fechadas e em meio a muito verde que é emocionante e requer muita atenção,jan de 2015 • Amigos,Belíssima estrada
Edeliz Marins L L,"Campo Grande, MS","Fomos em Dezembro, passeando de moto.",dez de 2014 • Casais,Como não amar?
Anderson L,"Lages, SC",Lugar onde a natureza caprichou em seus detalhes. É impossível não sentir a magia que paira no ar neste lugar onde se encontra uma das mais belas paisagens do Brasil.,nov de 2014 • Amigos,Deslumbrante
Lilian Selerges,"São Paulo, SP","Lugar maravilhoso, energia inexplicável andar por ali. Descemos a serra de moto, chegando até Lauro Muller, e voltamos subindo para Bom Jardim da Serra. Há vários pontos de observação ao longo do caminho. Trânsito tranquilo no período da manhã e durante a semana, mas as curvas exigem muita atenção. No mirante o tempo estava ótimo, com ótima visibilidade. Possui banheiro pago e poucas opções de alimentação. ",,Maravilhosa!!!!
LigiaPatron,"Balneário Camboriú, SC","Vale a pena fazer o trajeto desde Lauro Muller até o topo em Bom Jardim e também a descida. A paisagem é simplesmente magnífica! Muita mata, muito ar puro! Peguei um dia de sol, se neblina. Muitos caminhões, trajeto lento.",mai de 2014 • Amigos,Serra - tem que ir.
Leandro L,"Cotia, SP","Quando fui a Santa Cantarina, fui com intuito de ir para e praia, porém queria algo a mais do que isso. Sendo assim, em comum acordo com meu irmão fomos em direção a Serra do Rio do Rastro. Já tinha visto pela internet as imagens, entretanto,me surpreendi com aquela maravilha. Logo no inicio vc consegue observar que a paisagem começa a mudar, e fui parando no caminho para ir tirando fotos. Foi quando de repente olhei para o alto e observei um ponto vermelho descendo a serra (uma carreta). Que lugar espetacular, fantástico, que bela paisagem, inúmeras curvas, e em alguns pontos vc passa quase que encostando nas carretas e caminhões que por ali passam. Existem vários pontos estratégicos para tirar fotos, mas o principal está no final com um mirante para que possamos observar essa beleza que Deus nos oferece. Lindo, lindo.",fev de 2014 • Família,Um dos lugares mais impressionantes
Anderson S,"Ponta Grossa, PR","Vale a pena fazer o trajeto desde Lauro Muller até o topo em Bom Jardim. A paisagem é simplesmente magnífica! Muita mata, muito ar puro! Tudo de bom. Mas vai a dica: suba sem pressa. Não é somente por que a serra é repleta de curvas bem fechadas, mas sim para aproveitar cada detalhe da paisagem e aproveitar para parar nos variados mirantes ao longo da estrada. Aproveite e faça muitas poses para as fotos. No alto da serra há um grande mirante com lanchonetes e área de estar muito bem organizado. Se tiver sorte vai encontrar alguma familia de guaxinins , que sempre dão as caras por lá.",,Lugar maravilhoso!
Marcelo M,"Maringá, PR",Um lugar maravilhoso para descansar e recarregar as energias. A vista da serra é fantástica. Se uma sugestão é permitida: subir a seera ao invés de descê-la.,jan de 2015 • Família,Descanso e paz...
Vinícius M,"Curitiba, PR","A Serra do Rio do Rastro foi o motivo pelo qual decidimos visitar à região. Uma serra intrigante com uma estrada que exige dos motoristas e que encanta a cada curva. Aconselho a descerem a serra antes das 14h por que após as 15h, 15h30 o Sol já não bate mais, ficando o vale na sombra das montanhas.",jul de 2014 • Casais,Encantador
Vanessa C,"Rio de Janeiro, RJ","A serra possui diversos pontos para observação, as paisagens são lindas. ",jan de 2015 • Amigos,Paisagens incríveis
Marco L,"Bauru, SP","Adrenalina! Você nunca estará sozinho. Sempre com alguém mais rápido ou mais lento... Esqueça tudo e aproveite a paisagem nova, a cada curva, a cada quilômetro...",abr de 2014 • Casais,Descendo!
Gian O,"Joinville, SC","Visão do mirante muito bonita, e o passeio pela serra é sensacional, recomendo que todos ao menos uma vez na vida visitem esse lugar fantástico.",jan de 2015 • A sós,Serra emocionante
JaneSpieker,"Jaraguá do Sul, SC","Local primoroso, encantador pela natureza e pela obra da mão do homem, que nos possibilitou visualizar a serra de forma tão especial!",nov de 2014 • Família,Maravilhoso!
alicemaria2014,"Curitiba, PR","Linda Estrada, com suas curvas de tirar o fôlego!!! A subida é emocionante e pois as curvas não param! A vista lá do alto é maravilhosa! ",fev de 2014 • Casais,Passeio Emocionante
joelci s,"Porto Alegre, RS","vale a subida para uma vista espetacular, uma das mais lindas subidas feita de carro, observando cada cm da viagem, otimo",jan de 2015 • Família,Serra Linda
jefersoncardozo,"Curitiba, PR","Um visual incrível! Com muitas curvas, algumas paradas com acostamentos com vista para a serra. Apesar das curvas e de ser bem íngreme, a estra é segura.",jan de 2015 • Família,Só na segunda marcha.
Marilze2014,"Jaraguá do Sul, SC","A serra precisa ser curtida com dia limpo, muito sol. Do alto, consegue-se ver o litoral. Espetaculares são as manobras quando dois automóveis grandes se encontram.",jan de 2015 • Amigos,Serra do Rio do Rastro: curvas espetaculares
Itaerci D,135 contribuições,"A estrada mais linda do mundo;com certeza.  São 243 curvas, uma vista que tira o folego durante todo o percurso. A estrada é ótima feita de cimento,a vegetação  é exuberante, os mirantes dão a chance de fotos lindas, e a noite, é outro espetáculo a parte. Dá para subir e descer num mesmo dia. Vale a pena conhecer as atraçãos das cidades próximas.",jan de 2015 • Amigos,Deslumbrante
Marcelo,"Calgary, Canadá","Subir a Serra do Rio do Rastro é simplesmente emocionante, uma paisagem linda, com muitas curvas, vale a pena chegar cedo para subir devagar e curtir os diversos pontos de paradas para fotos e contemplação. Existem diversos pontos de parada para fotos e contemplação, ao longo do caminho se observam muitas cachoeiras e pode-se ouvir o cantar dos pássaros. Recomendo o passeio.",jan de 2015 • Família,Serra do Rio do Rastro
Keniasol,"Soltau, Alemanha","Um visual impressionante, natureza top, um passeio muito legal, aproveite as curvas os mirantes as paredes rochosas tudo muito lindo com certeza vale a pena. Quero voltar mais vezes, energia muito boa, serra linda !!!!",dez de 2014 • Família,impressionante
Raul JFO,"Curitiba, PR","Uma Serra inesquecível! Fantástica! Se o tempo estiver bom, do topo da Serra pode-se ver o litoral, numa extensão imensa. A Serra em si é uma atração, com suas múltiplas curvas fechadas em piso de cimento. A cada mirante é obrigatória uma parada para fotos. A natureza é magestosa.",jan de 2015 • Família,Fantástico
RaulAugusto,175 contribuições,"Para quem gosta de lugares bonitos, não pode deixar de conhecer a Serra do Rio do Rastro, e as localidades em sua volta. de preferencia no inverno, assim poderá sentir que esta em uma região típica Europeia. Visao do horizonte é deslumbrante, e tem que ficar durante o anoitecer na Serra, e muito bonito .",mai de 2014 • Amigos,EMOCIONANTE
DÉ P,"Nova Petrópolis, RS","Um passeio que pelo menos uma vez na vida, os amantes de aventura deveriam fazer. Fizemos o passeio subindo a serra, cada curva uma nova emoção, uma nova vista, óbvio que têm que ter muito cuidado ao dirigir. A natureza é linda e tu te sente impotente perante tanta beleza. Pegamos um dia de muito calor e a visão era de 100%.  Enfim, foi um passeio incrível, voltaremos",jan de 2015 • Amigos,De tirar o fôlego.
tadeufae,"Amsterdã, Países Baixos","Já fui umas três vezes na Serra do Rio do Rastro. O lugar é maravilhoso. Aconselho a todos que foram fazer alguma viagem de moto em Santa Catarina para passar por lá, nem que seja necessário desviar a rota. Levem capa de chuva e é bem escorregadio!",fev de 2014 • Amigos,Lindo lugar para viagem de moto
Alan F,"São Miguel do Oeste, SC","A descida da serra é sensacional... Muito emocionante... Pegamos um pouco de neblina, mas foi demais... Vale a pena...",dez de 2014 • Família,Emocionante
Vera Silvia C,"São Paulo, SP","É um pedaço do Brasil que tem que ser visto por todos. Localizada em Santa Catarina, a Serra do Rio do Rastro tem como atração principal uma imponente natureza, que se mostra lindíssima nos meses de calor e surpreendente no inverno quando fica coberta de gelo. No alto da serra há um mirante onde se pode ver grande parte de seu traçado . Recomendo muito este passeio.",jan de 2015 • Casais,Aventura e beleza natural
Rodolfo C,"Capinzal, SC","A Serra do Rio do Rastro é realmente um local que cada vez que é visitada apresenta algo diferente, principalmente em relação as condições do tempo que sofrem alterações imprevisíveis até pelo melhor meteorologista. Nesta viagem tivemos garoa no topo, tempo limpo na metade do caminho e temporal no pé da serra, mas nada que tire a beleza do passeio.",jan de 2015 • Família,Local inusitado!
Mochileira002,"Guaraciaba, MG","A Serra do Rio do Rastro é exuberante... Do mirante, se o dia estiver limpo, é possível visualozá-la... Bons restaurantes no mirante...",dez de 2014 • Casais,Exuberante
LeticiaPadilha,"Porto Nacional, TO","Muito linda, é bom fazer este passeio para apreciar a natureza. Não vá esperando que vai ter algo a mais que a natureza deslumbrante do lugar! Não serve pra gente enjoada. Tem uma lanchonete no meio da serra onde o lanche é até bem gostoso, dá pra perder um tempinho conversando com os locais e vendo fotos de todos que passam por ali. Fiz de carro, mas acho que de moto seria incrível!",jul de 2014 • Família,Diferente
Leandro H,"São Bernardo do Campo, São Paulo, Brazil",Esta serra é exuberante. Va com tempo para poder parar em todos os recuos de pista para admirar a vista e fazer fotos fantásticas. Passeio inexplicável.,,Sensacional obra da natureza
Gilci N,"Pelotas, RS","Fizemos este trajeto com mais 2 casais de amigos e nos encantamos com as paisagens do local. É IMPERDÍVEL mesmo, não é exagero das pessoas que já passaram por lá. Quem for uma vez, vai voltar...",dez de 2014 • Casais,"Para motociclistas, 10!"
ElianaPintro,"Brusque, Santa Catarina, Brazil","A Serra do Rio do Rastro é linda, bons restaurantes, lindas paisagens, muitos mirantes no percurso, tem várias opções de lazer com a família.",jan de 2015 • Família,Sensacional!!
claudiohocouto,"Campos Novos, SC","Beleza exuberante, muito bonito, com uma bela vista. Possui um mirante que permite ótima visão da paisagem.",nov de 2014 • Família,Natureza exuberante
Marinasgonzaga,"Rio de Janeiro, RJ","Paisagens lindas. Quando fui tinha um pouco de neblina e não conseguimos ver muito. No topo existe um restaurante com comidas deliciosas, vale muito a pena almoçar lá. A paisagem é maravilhosa, optamos por voltar pela serra e foi muito bom também.",jul de 2014 • Casais,LINDA VIAGEM
Alessandra R,"Florianópolis, SC","Adorei! Primeiramente, nós avistamos a Serra de cima, do alto do mirante e na companhia de diversos quatis, que ficam por ali, soltos. Na ida para a região dos cânions, descemos a Serra do Rio do Rastro de carro e de dia. A visão do todo é simplesmente excepcional! Ela é repleta de curvas, é longa, cheia de paredões, super íngreme e secular... de repente, no caminho, nós nos deparamos com uma escultura em homenagem aos tropeiros, o que faz o turista refletir sobre como essas pessoas faziam aquele trajeto durante dias, à cavalo, e sem nenhuma infraestrutura para o descanso. Por tudo isso, é um local que, além da paisagem natural, é historicamente importante. Vale mesmo a pena conhecer!",jul de 2014 • Família,Simplesmente linda!
FAMONES,"Rondonópolis, MT","Ao chegar no mirante da serra, podemos ter uma ideia da dimensão e beleza da região. Ar puro, muito verde, fauna e várias quedas d'água ao longo da rodovia que contorna a serra. Aliás, para quem curte um passeio de carro ou de moto, esta rodovia é um prato cheio para quem curte admirar toda a extensão da Serra do Rio do Rastro. Apenas tome cuidado nas curvas, com ônibus e caminhões, pois você terá de ser paciente e dar a preferência para os mesmos poderem fazer as curvas.",fev de 2014 • Casais,Apaixonante
Dourados,"Dourados, MS","O Passeio na serra foi muito legal, a vista é bonita e a adrenalina rola solta nas curvas da estrada, principalmente quando um caminhão divide uma curva com você, mas com cuidado e baixa velocidade, o passeio será  sucesso. O mirante que fica no topo da serra tem uma vista espetacular.",jan de 2015 • Família,Bonito
Daniella0307,"Camboriú, SC","Conhecer este lugar foi fascinante... após muitas curvas e uma subida bem íngreme, chegar ao mirante da serra é simplesmente magnífico... a vista é linda demais!",mai de 2014 • Família,Divina!
PBonotto,"Porto Alegre, RS","O passeio de carro ou moto pela estrada da Serra do Rio do Rastro é magnifico. Ao longo das suas 284 curvas distribuídas em 23 quilômetros a vista é maravilhosa o que torna o passeio único. Recomendo efetuar o passeio também a noite, com a estrada iluminada.",set de 2014 • Casais,Incomparável
RoseSerras,"Blumenau, SC","Uma vista espetacular de beleza extraordinária que deixa todos curiosos para visitar. É uma sensação muito boa estar no mirante a apreciar a paisagem, mas também a descida na estrada estreita  é muito emocionante. Adorei!",mar de 2014 • Casais,Excepcional
Eliete2019,"Ribeirão Preto, SP",Fomos de moto! Essa experiência é mesmo incrível!!,dez de 2014 • Casais,Fascinante!
Fabiana_Vieira,"Timbó, SC",Um lugar sem igual! Vista paradisíaca que não perde para nenhum outro lugar no mundo. Clima friozinho. Região com várias Pousadas bacanas e restaurantes ótimos.,out de 2014 • Amigos,Deslumbranteeeee
Henrique J,"Cascavel, Parana, Brazil",Sem palavras para descrever a beleza da Serra! Somente visitando e curtindo cada momento no local para sentir o que é estar nesse local! Natureza maravilhosa!,dez de 2014 • Família,Sensacional!
Michel Walker,"Lagoa Vermelha, RS","Com certeza a serra do Rio do Rastro se não é a mais está entre as mais lindas do Brasil! É emocionante descer a cada curva desta serra, algumas curvas são praticamente retornos, a estrada de concreto e asfalto é muito bem sinalizada e com áreas de escape na maioria das curvas, e o melhor de tudo é que você não paga nada para descer ou subir essa aventura....",,Mais linda serra do Brasil!
gisa2015,Estado de São Paulo,Deveria ser visita obrigatório à todos brasileiros...É estupendo com certeza uma das lindas vistas de montanhas do mundo.,dez de 2014 • Casais,Imperdível!!!
azvdo_f,"Blumenau, SC","Todo mundo deve conhecer esse lugar. A serra é incrível. A descida, pra quem nunca fez, pode parecer uma aventura a primeiro momento mas é tudo muito seguro. Claro, há de se ter cuidado com neblina e gelo (se inverno), e há curvas tão fechadas  que carro e caminhão ao mesmo tempo não passam, mas é uma delícia de passeio. Muito bonito!",mar de 2014 • Casais,Excelente
Silvana K,"Joinville, SC","cheia de curvas,mas da pra descer tranquilo,tem um mirante com lojas e uma vista incrivel,e parque eolico proximo ao mirante,onde pode tirar fotos...",fev de 2014 • Casais,show !
